round_epochs,val_loss,val_accuracy,loss,accuracy,dropout,final_activation,loss_function,lr,num_Nodes,regularizer
211,0.15276841819286346,0.2693965435028076,0.15209437906742096,0.2750786,1,softmax,mean_squared_error,0.005,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
930,0.14571718871593475,0.354885071516037,0.14189767837524414,0.39649752,1,softmax,mean_squared_error,0.005,18,None
211,0.15281595289707184,0.2693965435028076,0.15214289724826813,0.2750786,1,softmax,mean_squared_error,0.005,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
1034,0.1436109095811844,0.3717672526836395,0.1403968185186386,0.40440053,1,softmax,mean_squared_error,0.005,21,None
201,0.15282054245471954,0.2693965435028076,0.15214496850967407,0.2750786,1,softmax,mean_squared_error,0.005,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
919,0.14403431117534637,0.36997127532958984,0.14050619304180145,0.40484956,1,softmax,mean_squared_error,0.01,9,None
202,0.15254180133342743,0.2693965435028076,0.15182441473007202,0.2750786,1,softmax,mean_squared_error,0.01,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
731,0.1440916210412979,0.3653017282485962,0.1403639018535614,0.4028738,1,softmax,mean_squared_error,0.01,12,None
202,0.1525331437587738,0.2693965435028076,0.15181012451648712,0.2750786,1,softmax,mean_squared_error,0.01,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
976,0.1446564495563507,0.366738498210907,0.14081290364265442,0.39919174,1,softmax,mean_squared_error,0.01,15,None
202,0.15253077447414398,0.2693965435028076,0.15180325508117676,0.2750786,1,softmax,mean_squared_error,0.01,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
1369,0.1444527953863144,0.37859195470809937,0.13998708128929138,0.40862146,1,softmax,mean_squared_error,0.01,18,None
201,0.1525260955095291,0.2693965435028076,0.15179434418678284,0.2750786,1,softmax,mean_squared_error,0.01,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
1056,0.14376090466976166,0.38110631704330444,0.13959048688411713,0.40916032,1,softmax,mean_squared_error,0.01,21,None
205,0.15250906348228455,0.2693965435028076,0.1517687290906906,0.2750786,1,softmax,mean_squared_error,0.01,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
625,0.1435656100511551,0.36925286054611206,0.1398041695356369,0.40556803,1,softmax,mean_squared_error,0.03,9,None
201,0.15247513353824615,0.2693965435028076,0.1516866385936737,0.2750786,1,softmax,mean_squared_error,0.03,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
671,0.143790140748024,0.3649425208568573,0.14046421647071838,0.40350246,1,softmax,mean_squared_error,0.03,12,None
203,0.1524728387594223,0.2693965435028076,0.1516880989074707,0.2750786,1,softmax,mean_squared_error,0.03,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
703,0.14420929551124573,0.37140804529190063,0.1400427669286728,0.40736416,1,softmax,mean_squared_error,0.03,15,None
